palabra,media_agrado,media_activacion,media_imaginabilidad
permanecer,0.6,-0.4,0
evitar,-0.2,1,0.4
bajar,0,0.8,0.8
casar,0.5,0.833,0.833
elegir,0.8,1,0.2
recorrer,0.2,1,0.6
cumplir,0.8,0.8,0.2
fuente,0.2,-0.8,1
segundo,0,-0.4,-0.2
memoria,0.2,0.4,0
esconder,-0.4,0.8,0.6
cultura,0.8,0.6,0
resultado,0.2,-0.4,-0.2
nuevamente,0,-0.2,-0.2
pecho,0.167,-0.667,1
profesor,0.2,0.2,1
formular,0,0.8,0.2
capital,0.4,-0.2,0.4
existencia,0.6,0,-0.2
episodio,0.2,0,0.4
verdadero,1,0.4,-0.2
figura,0,0,0.8
denominar,0,0.4,-0.4
jefe,-0.4,0.6,1
pena,-0.8,-0.2,0.2
comprar,0.8,1,1
carta,0,0.4,1
notar,0,1,-0.4
mandar,0,1,0.4
atrás,-0.2,-0.2,0.6
marcar,0,0.8,0.4
grito,-0.6,1,1
demasiado,-0.4,-0.2,0
provocar,-0.2,1,0.4
elección,0.2,0.8,0
acto,0,0.8,0.2
modelo,0.2,0,0.4
jugador,0.8,1,1
libertad,1,0.8,0.6
celebrar,1,1,1
espalda,0.2,-0.4,0.8
sitio,0.2,-0.6,0.2
escritor,1,1,1
siquiera,0,-0.4,-0.8
explicar,0.6,1,0.4
cantidad,0,0,0.2
unión,0.8,0.4,0.4
lagrimar,-0.4,0.6,1
apenas,0,-0.167,0.167
aprender,1,1,1
arma,-1,0.6,1
hallar,0.8,1,0.8
distancia,-0.2,-0.4,0.8
simple,0.8,0.2,0.8
teatro,1,0.6,1
par,0.6,0.2,1
andar,0.8,0.8,1
futuro,0.4,-0.2,-0.2
eterno,0.8,0.2,0
condición,0,-0.2,-0.2
militar,-1,0.4,0.6
cuento,1,0.2,1
ángel,0.4,-0.2,0.4
golpe,-0.8,0.4,1
objeto,0.2,-0.4,0.2
organización,0,0.4,0.6
abuelo,0.8,0,1
radio,0.6,0,1
difícil,0,0.2,0.2
viajar,1,0.8,1
capaz,1,0.6,0.6
montaña,0.6,-0.4,1
esperanza,0.8,-0.2,0.6
rodear,0.4,0.6,0.6
preparar,0.4,0.6,0.6
pierna,0.4,0.2,0.8
canal,0.4,0.2,1
numeroso,0,0.2,1
vestir,0,1,1
elemento,0.2,0,0.2
control,-0.2,0,0.6
calor,0.4,0.4,1
oeste,0,0,0.6
función,0,0,0.2
atención,0.4,0.4,0.6
compartir,0.8,1,1
blanco,0.2,-0.2,1
necesidad,0,0.4,0.4
musical,1,0.6,0.6
piso,0,-0.2,1
seguro,0.8,0.2,0.4
ingreso,0.2,0.6,0.2
vender,0,0.8,0.8
simplemente,0.4,0.2,-0.2
político,-0.8,0.4,0.4
completo,0.4,0.2,0.6
interés,0.4,0.4,0.8
causar,0,0.6,0.2
verano,1,0.2,1
ala,0.6,0.4,1
mitad,0,-0.4,0.4
ciencia,0.6,1,1
hogar,1,0,1
faltar,-0.4,0.4,0.2
rápido,0,1,0.2
partido,0.2,0.8,0.8
enorme,0.2,0.2,0.8
nube,0.6,-0.4,1
falta,-0.2,0,0
guardar,0,0,0.2
mesa,0,-0.4,1
extender,0,0.8,0
oro,0.4,-0.8,1
juntar,0.4,1,0.2
similar,0,-0.2,0
enviar,0,1,0.2
histórico,-0.2,-0.6,0.2
interpretar,0.6,0.8,0
piedra,0,-0.8,1
frío,-0.4,0,1
museo,0.8,-0.2,1
original,0.8,0,0.2
civil,0,0.2,-0.6
luchar,0.167,1,0.833
campo,1,-0.286,1
medida,0,0.167,-0.167
plan,0.333,0.667,0.667
apoyar,0.4,0.6,1
información,0.2,0,0
producto,0,-0.2,0.6
unidad,0.4,0.2,0.4
cercano,0.4,0.2,0.6
energía,0.8,0.8,1
alegría,1,1,1
ayuda,0.6,1,0.6
llenar,0.4,1,0.8
colocar,0,1,0.8
avanzar,0.6,1,1
encuentro,1,0.8,1
especialmente,0.2,0.2,0.2
escena,0.2,0.2,0.4
capacidad,0.4,0.4,0.6
profundo,0.6,0.6,0.8
investigación,0.2,1,0.4
largo,0,0,0.6
jardín,1,-0.4,1
gana,0.4,0.8,-0.4
ropa,0.4,-0.2,1
cine,0.8,0,1
oscuridad,-0.4,-0.6,0.8
realmente,0,0.4,0
retirar,0,0.6,0.6
red,0,-0.4,1
parar,0,1,1
tema,0,-0.4,-0.4
describir,0.2,0.6,0.4
enfrentar,-0.4,1,0.6
parir,0.2,1,1
suerte,1,0.2,0.6
edición,0,0.6,0.2
ataque,-1,1,1
abrazar,1,1,1
consejo,0.8,0.8,0.8
café,1,0,1
muchacho,0,-0.2,0.6
cuarto,0,-0.6,0.8
revista,0.2,-0.2,1
tristeza,-0.8,0,1
carne,-0.2,-0.2,1
comuna,0.2,0.2,-0.2
enamorar,1,1,0.6
espejo,0.6,-0.4,1
conjunto,0.4,0.2,0.6
característica,0.2,0,-0.2
corto,-0.2,-0.4,0.8
claro,1,-0.2,0.6
pacífico,1,0,0.8
indicar,0,0.8,1
felicidad,1,0.8,0.8
sensación,0.2,0.8,0.2
oportunidad,1,0.8,0.6
temer,-0.8,0.4,0.6
campeonato,0.6,0.6,0.4
motivo,0.2,0.2,-0.2
rato,0.2,0.2,0.2
derrotar,-0.4,0.8,0.6
peso,-0.2,-0.2,0.6
sencillo,0.6,0.4,0.8
duro,-0.2,0.6,0.8
olor,0,0.4,0.6
duda,-0.4,-0.2,-0.4
puesto,0,0.4,-0.2
actuar,0.8,1,1
principalmente,0,0.2,-0.4
referir,0,0.4,-0.6
detrás,0,-0.4,0.4
destruir,-0.8,1,0
prueba,-0.2,0.4,0.2
tenia,-1,0.4,0.4
perfecto,0.8,0.4,0
pelo,0,0,1
pasión,0.6,0.6,0.6
fecha,0.4,0,0
cansar,-0.667,0.333,0.667
beber,1,1,1
lucha,-0.4,1,0.8
poeta,0.8,0.6,0.6
novela,1,-0.2,0.8
dato,0.6,-0.4,0.8
limitar,-0.4,1,0.2
pez,0.6,0.8,1
repetir,-0.2,0.8,-0.2
creación,0.8,1,0
texto,0.6,-0.2,0.8
naturaleza,1,0.2,0.8
torre,0.4,-0.6,1
constituir,0.4,0.8,-0.4
dulce,1,-0.4,1
obligar,-1,1,0.6
mil,0,0,0.2
pagar,-0.6,1,1
estructura,0,-1,0
copa,0.6,-0.6,1
risa,1,1,1
organizar,0.2,1,0
municipal,0,0,0.6
frío,-0.6,0.2,0.6
negar,-0.8,1,0.4
diferencia,0,0,0.2
intento,0.4,0.8,-0.2
vía,0,-0.4,0.2
policía,-0.2,0.2,1
demostrar,0.4,1,-0.2
formación,0.8,-0.2,-0.2
cultural,0.8,-0.2,-0.6
plata,0.8,-0.2,0.8
período,0,-0.2,0.2
surgir,0.6,1,-0.4
pieza,0.4,-0.4,0.4
suave,0.8,0.2,0.6
guerra,-1,0.2,1
vecino,0.2,0.2,0.6
vista,1,0.2,0.4
aspecto,0.6,0,-0.2
meter,0.4,1,0.4
amo,0.2,0.6,0.2
cortar,0,0.8,0.4
distribución,0.2,0.4,0
pregunta,0.2,1,0.4
paz,1,-0.2,0.2
fruto,0.8,0.2,0.6
belleza,1,0.4,1
poema,0.8,0,0.4
suficiente,0.4,0.2,-0.6
famoso,0,0.2,0.4
artículo,0,-0.2,0.2
loco,0,1,0.6
villa,-0.2,0,0.6
perteneciente,0.2,-0.2,-0.4
conservar,0,0.2,-0.4
dia,0.6,0.2,0.8
importancia,0.4,0.4,0
seguridad,0.8,0.8,0.4
educación,0.8,0.8,0.8
pasado,0.4,-0.2,0.8
sector,0,-0.2,0.6
determinar,0.2,0.8,-0.4
declarar,0.2,1,0.6
posibilidad,0.4,0.2,0
dinero,0.8,0.6,1
experiencia,0.8,0.6,0.8
disfrutar,1,1,1
carácter,0.4,0.2,0
velocidad,0.2,0.4,0.4
operación,-0.2,0.8,0.4
decisión,0.4,0.8,0.2
preocupar,0,0.6,0.6
debutar,0.8,1,0.2
contestar,0.6,1,0.8
mencionar,0.4,0.6,0.6
sonar,0.4,0.8,0.8
quitar,-0.571,0.857,1
altura,0.2,-0.2,1
huir,-0.8,1,1
bosque,1,0.2,1
solo,0,-0.4,0.8
imperio,0.4,0,0.6
ordenar,0,1,1
residir,0,0.6,0.8
selección,0,0.4,0.8
fácil,0,-0.2,0.8
ministro,-0.2,0,0.8
dueño,0.2,0.6,1
tropa,0,0.6,1
propiedad,0.6,0,1
ruta,0.4,0.2,1
defensa,0.6,0.2,0.8
actor,0.4,0.8,1
reunir,0.6,1,1
despedir,0.2,0.6,0.8
trasladar,0.6,1,0.8
bailar,0.2,1,1
enfermedad,-0.8,0,0.8
entrada,0.4,0.2,0.8
firme,0.8,0.2,0.6
anunciar,0.6,0.6,0.8
busca,0.2,0.6,0.6
causa,0.4,0.4,0.2
atacar,-0.6,1,1
muerto,-0.6,-0.6,1
pareja,0.8,0.4,1
comercial,0.2,0.2,0.6
visitar,1,1,1
tirar,-0.2,0.6,0.8
relacionar,0.6,0.8,0.6
cabello,0.6,-0.2,0.8
artista,0.4,0.6,1
espíritu,0.6,0.2,0.8
invitar,0.8,1,0.8
local,0.2,-0.2,0.6
firmar,0.2,1,0.8
teoría,0.6,0,0.6
invierno,0.4,-0.2,1
objetivo,0.2,0.4,0.6
puente,0.6,-0.6,1
lentamente,0,0.4,0.8
imposible,-0.4,0,0.8
sostener,0,0.8,0.6
mercado,0.2,0.4,1
transformar,0.8,0.8,1
cadena,-0.8,0,1
personal,0.6,0.4,0.8
serio,0.2,-0.2,0.8
conocimiento,1,0.4,1
planeta,1,0.4,1
solamente,-0.2,0,0.2
comunicación,0.8,0.8,0.8
etapa,0.2,0.4,0.6
integrar,0.4,0.8,0.8
marca,0,0.6,0.8
categoría,0,0.2,0.4
longitud,0,0,0.4
peor,-0.6,0.2,0.2
campaña,0.2,0.6,0.2
moderno,0.4,0.4,1
colegio,1,0.8,1
vuelo,1,0.6,1
grabar,0.2,0.6,0.6
echar,-0.8,0.6,0.4
asomar,0.4,0.4,0.6
instituto,0.4,0.2,0.6
girar,0.6,1,0.8
novio,0.8,0.4,0.6
apoyo,1,1,0.6
tío,1,0,1
preferir,0.6,0.6,0.4
tamaño,0,-0.2,0.6
emplear,0.4,1,0.6
periodo,0,0,0.4
nave,0.4,0.2,0.8
material,0.2,-0.4,0.6
esfuerzo,0.6,1,1
amplio,0.8,-0.2,1
adquirir,0.2,0.6,0.8
tren,0.4,0,1
error,-0.8,0.4,0.4
secreto,-0.2,0.6,0.2
universo,0.6,0.6,0.6
desconocer,-0.6,-0.4,-0.4
federación,0,0.2,0
cuello,0.6,0.2,1
pintura,0.6,0.4,1
elevar,0.8,1,1
ilusión,0.6,0.8,0.4
grado,0,0,-0.2
palacio,0.8,-0.4,1
cámara,0.6,0.8,1
ruido,-0.6,0.6,1
listo,0.8,0.8,0.4
economía,0,0.8,0
actualidad,0,0.8,0.2
proponer,0.6,1,0.4
poesía,0.8,0.8,1
kilómetro,0,0.4,0.8
callar,0,-0.2,0.8
enseñar,1,1,1
público,0.2,0.2,1
sede,0,-0.4,0.8
aumentar,0.4,1,0.8
sorprender,0.8,1,0.8
cuidar,0.8,1,1
hospital,-0.2,0.6,1
ausencia,-0.8,-0.6,0.8
doler,-0.8,0.4,1
posterior,0,0,0.2
llanto,-0.6,0.6,1
cápita,0,-0.4,0.2
respirar,0.6,1,1
marchar,-0.2,1,1
noticia,0,0,0.8
frase,0.2,-0.2,0.8
próximo,0.2,-0.4,0.2
aproximadamente,0,-0.2,0.2
costar,0,-0.2,0.2
inicio,0.4,0.2,0.8
izquierdo,0.2,0.2,0.4
autoridad,0.2,1,1
vino,0.8,0,1
recuperar,0.4,1,0.8
protagonizar,0.4,1,0.8
comienzo,0.4,0,0.6
influencia,0.4,0.8,0.6
rápidamente,0.2,0.6,0.8
habitar,0.4,0.4,0.6
deportivo,0.6,1,1
nación,0.8,1,0.8
avión,0.6,0.6,1
tranquilo,1,0,1
expresión,0.2,0.6,0.4
raro,0.4,0,0.6
debajo,-0.2,-0.4,0.8
reducir,-0.4,0.8,0.2
diseño,0.6,0.6,0.4
festival,0.8,1,1
azul,0.8,0.2,1
tradicional,0.4,-0.2,1
adelante,0.4,0.2,1
cargar,-0.4,0.6,1
directo,0.6,0.8,0.8
proteger,0.8,1,0.8
pobre,-0.6,-0.2,0.8
placer,1,0.2,1
reloj,-0.2,0.2,1
caricia,1,1,1
motor,0.2,0.8,1
doctor,0.2,0.2,1
presente,0.8,0.4,0.4
completamente,0.6,0.6,0.6
página,0.2,0.4,1
playa,0.8,-0.2,1
robar,-1,0.8,1
señalar,-0.2,0.8,1
totalmente,0.2,-0.2,-0.2
vacío,-0.2,-0.4,0.6
incorporar,0.8,0.8,0.2
matrimonio,0.8,0.6,1
capitán,0.4,0.6,1
generar,0.8,0.8,0.2
salvar,1,1,0.8
señal,0.6,0,1
conducir,0.8,1,1
lago,1,0,1
caballo,1,1,1
golpear,-0.6,0.8,0.8
asi,0.2,0,-0.4
metal,0.4,-0.4,0.8
líder,0.4,1,0.4
lejano,-0.4,-0.4,0.6
abrazo,1,0.2,1
daño,-1,0,0.6
recoger,0.2,0.8,1
consecuencia,-0.2,0,0
encender,0.6,1,1
costumbre,0.2,0,0.2
baño,0.6,0.2,1
liga,0,-0.2,0.2
