room_id,host_id,room_type,country,city,neighborhood,address,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,deleted,minstay,last_modified,latitude,longitude,survey_id,location,coworker_hosted,extra_host_languages,name,property_type,currency,rate_type
905855,4846861,Entire home/apt,NA,NA,NA,"Buenos Aires, Autonomous City of Buenos Aires, Argentina",0,NA,2,1,1,815,0,NA,2018-02-09T11:01:12Z,-34.579454,-58.426603,1,0101000020E610000010B056ED9A364DC0A8C4758C2B4A41C0,NA,NA,Palermo large apartment with wi-fi,Apartment,ARS,nightly
3441210,10533266,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",32,5,2,1,1,815,0,NA,2018-02-09T18:28:29Z,-34.619589,-58.378991,1,0101000020E61000003A3DEFC682304DC00DFB3DB14E4F41C0,NA,NA,KOHLI-HOUSE      TERRAZA CENTRAL,Apartment,ARS,nightly
10224097,27552667,Entire home/apt,NA,NA,NA,"Buenos Aires, Buenos Aires, Argentina",0,NA,3,0,1,1019,0,NA,2018-02-09T11:01:12Z,-34.577327,-58.426875,1,0101000020E6100000713D0AD7A3364DC0840CE4D9E54941C0,NA,NA,Estudio muy luminoso de 50mts2,Loft,ARS,nightly
7694401,28590716,Entire home/apt,NA,NA,NA,"Buenos Aires, Buenos Aires, Argentina",2,NA,3,1,1.5,815,0,NA,2018-02-09T11:01:12Z,-34.578285,-58.425982,1,0101000020E6100000A357039486364DC039622D3E054A41C0,NA,NA,Luminous Luxury Palermo Apartment,Apartment,ARS,nightly
20418069,13505939,Entire home/apt,NA,NA,NA,"Buenos Aires, Buenos Aires, Argentina",0,NA,2,0,1,815,0,NA,2018-02-09T11:01:12Z,-34.579297,-58.426978,1,0101000020E6100000450E1137A7364DC0E0D57267264A41C0,NA,NA,"PALERMO, BONITO Y BARATO",Apartment,ARS,nightly
11696969,61224575,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,NA,2,1,1,1039,0,NA,2018-02-09T11:01:12Z,-34.577951,-58.424138,1,0101000020E6100000D47E6B274A364DC062D8614CFA4941C0,NA,NA,very confortable 30m2 apartment,Apartment,ARS,nightly
4708243,24334682,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",15,5,2,1,1,978,0,NA,2018-02-09T18:28:29Z,-34.616398,-58.379463,1,0101000020E610000062855B3E92304DC0EFA83121E64E41C0,NA,NA,Modern apartment in San Telmo,Apartment,ARS,nightly
20284594,126172114,Entire home/apt,NA,NA,NA,"Comuna 1, Buenos Aires, Argentina",1,NA,4,2,1,774,0,NA,2018-02-09T18:28:29Z,-34.619132,-58.378882,1,0101000020E6100000838593347F304DC01BF4A5B73F4F41C0,NA,NA,Depto 3 amb luminoso excelente ubicación,Apartment,ARS,nightly
1396174,7543724,Entire home/apt,NA,NA,NA,"Buenos Aires, Autonomous City of Buenos Aires, Argentina",23,4.5,3,0,1,917,0,NA,2018-02-09T18:28:29Z,-34.615915,-58.378793,1,0101000020E6100000147AFD497C304DC0D40E7F4DD64E41C0,NA,NA,Beautiful and spacious studio.,Loft,ARS,nightly
11665905,61925724,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",32,4.5,2,0,1,937,0,NA,2018-02-09T11:32:59Z,-34.586173,-58.423506,1,0101000020E610000074D4D17135364DC02C6684B7074B41C0,NA,NA,Beautiful apartment in Palermo Soho,Apartment,ARS,nightly
16811216,46930084,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",1,NA,4,1,1,815,0,NA,2018-02-09T18:28:29Z,-34.621329,-58.378711,1,0101000020E610000057D11F9A79304DC038876BB5874F41C0,NA,NA,DEPARTAMENTO EN SAN TELMO SOBRE AV 9 DE JULIO,Apartment,ARS,nightly
