X,Y,NOMBRE,DOMICILIO,IMAGEN,AUTOMAT,OBSERV,NRO_EST,HORARIO,DIRE_NORM
-5843739683340209,-3458503639373545,GORRITI,FITZ ROY 1590 Y GORRITI,ESTACION_AUTOMATICA.PNG,AUTOMATICA,jun-17,159,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,1590 FITZ ROY
-58401945169855810,-34609239096778356,LARREA Y BARTOLOME MITRE,LARREA ENTRE BARTOLOME MITRE Y AV RIVADAVIA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,jun-17,162,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,LARREA Y MITRE BARTOLOME
-58405966223158760,-34599732704138208,SAN LUIS Y ECUADOR,SAN LUIS 2862 ENTRE ECUADOR Y BOULOGNE SUR MER,ESTACION_AUTOMATICA.PNG,AUTOMATICA,jun-17,170,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,2862 SAN LUIS
-58407851663360040,-34597763577063264,PLAZA MONSEÑOR MIGUEL DE ANDREA,PLAZA MONSEÑOR MIGUEL DE ANDREA (ANCHORENA 900),ESTACION_AUTOMATICA.PNG,AUTOMATICA,jun-17,165,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,901 ANCHORENA TOMAS MANUEL
-58381282608213890,-3461861995681673,ESTADOS UNIDOS,ESTADOS UNIDOS Y LIMA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,jun-17,168,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,ESTADOS UNIDOS Y LIMA
-58399526865532490,-34603242952572596,PASTEUR,PASTEUR 501 ENTRE TUCUMAN Y LAVALLE,ESTACION_AUTOMATICA.PNG,AUTOMATICA,jun-17,171,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,501 PASTEUR
-58407965559468e3,-34577849108765664,PLAZA ALEMANIA,PLAZA ALEMANIA: DEL LIBERTADOR AV Y CAVIA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,jun-17,156,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,DEL LIBERTADOR AV Y CAVIA
-58411924763960370,-346120200280467,FACULTAD DE PSICOLOGIA,HIPOLITO YRIGOYEN Y 24 DE NOVIEMBRE,ESTACION_AUTOMATICA.PNG,AUTOMATICA,jul-17,169,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,YRIGOYEN HIPOLITO Y 24 DE NOVIEMBRE
-58391548775098680,-34597261472489800,MINISTERIO DE EDUCACION,MARCELO T DE ALVEAR 1698 Y RODRIGUEZ PEÑA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,jul-17,174,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,1698 ALVEAR MARCELO T DE
-58412158544546730,-34568073891386384,PLANETARIO,"AV. ROLDAN, BELISARIO Y AV. SARMIENTO",ESTACION_AUTOMATICA.PNG,AUTOMATICA,jul-17,177,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,ROLDAN BELISARIO AV Y SARMIENTO AV
-5842486660380937,-34623457406189336,JOSE MARMOL,JOSE MARMOL 803 Y ESTADOS UNIDOS,ESTACION_AUTOMATICA.PNG,AUTOMATICA,jul-17,178,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,803 MARMOL JOSE
