"age","race_white","gender_male","education","income","ideology_con","partyid_rep","vote_rep","voted"
64,1,0,3,2,2,2,0,1
22,1,1,5,3,4,3,NA,0
78,1,1,3,3,4,1,0,1
27,1,1,5,3,4,5,NA,1
63,1,0,3,1,4,2,0,1
66,1,0,3,2,4,3,0,1
37,1,1,5,4,4,3,0,1
53,1,1,3,2,4,4,NA,0
71,1,1,3,3,5,5,1,1
46,1,1,3,3,6,6,0,1
19,1,1,3,4,5,5,1,1
44,1,0,6,3,5,6,1,1
18,1,1,3,3,6,6,1,1
33,1,0,6,3,5,6,1,1
49,1,0,5,4,4,4,1,1
20,0,0,3,3,4,5,1,1
67,1,1,2,4,4,4,NA,0
47,1,1,3,4,5,1,0,1
42,1,1,5,4,5,4,1,1
43,1,0,7,4,1,1,0,1
36,1,1,3,4,4,4,NA,0
75,1,0,5,2,6,2,NA,0
71,1,1,7,5,5,7,1,1
74,1,1,5,2,6,7,1,1
27,1,1,6,3,4,3,0,1
43,1,1,5,4,6,6,NA,0
56,1,0,5,3,4,3,0,1
20,1,1,5,5,4,6,1,1
47,1,0,5,5,5,7,1,1
50,1,1,6,5,7,7,1,1
42,0,0,7,3,4,5,1,1
62,1,0,6,1,4,5,NA,0
31,1,0,6,4,2,6,1,1
60,1,1,5,4,6,6,1,1
47,1,0,5,3,4,5,1,1
18,1,1,3,3,5,6,NA,0
42,1,0,5,2,4,2,1,1
60,1,0,6,3,4,4,1,1
45,1,1,6,4,5,6,1,1
38,1,0,5,3,6,6,1,1
44,1,1,6,1,2,1,0,1
65,0,0,3,3,4,1,0,1
54,1,1,3,4,4,7,1,1
60,1,0,3,3,5,6,1,1
51,0,1,5,4,6,4,0,1
78,1,1,3,2,4,7,1,1
36,1,1,6,3,4,4,NA,1
28,1,1,6,3,4,4,NA,0
41,1,0,6,4,6,7,1,1
49,1,1,5,4,5,1,0,1
50,1,0,5,3,2,1,0,1
46,0,0,2,1,1,4,0,1
31,0,1,5,3,4,1,0,1
25,0,0,3,2,4,1,0,1
33,0,1,6,3,4,3,0,1
25,0,0,3,2,4,1,0,1
50,0,1,3,1,3,3,0,1
52,0,1,5,4,4,3,NA,0
30,0,0,3,1,4,6,NA,0
54,0,1,5,2,4,4,0,1
41,0,1,5,3,4,1,NA,1
40,0,1,5,4,4,1,NA,0
32,0,1,6,4,4,1,0,1
23,0,1,3,3,4,1,NA,0
48,0,0,3,3,4,1,0,1
48,0,0,6,3,4,1,0,1
27,0,0,3,3,6,4,0,1
18,0,0,3,4,6,1,NA,0
69,1,0,5,1,5,5,1,1
44,0,0,7,4,4,1,0,1
53,0,1,6,5,5,1,NA,0
49,0,1,5,3,4,1,0,1
72,0,1,1,1,6,1,NA,0
23,0,1,6,3,4,3,0,1
33,1,0,5,5,4,5,NA,0
36,1,1,3,2,4,5,NA,0
70,0,1,5,2,4,4,0,1
63,0,1,7,4,4,4,NA,0
28,0,0,5,4,4,2,0,1
62,1,0,3,3,6,7,1,1
59,1,1,3,1,2,4,NA,0
37,1,0,2,1,4,1,NA,0
63,1,0,3,3,5,6,1,1
34,1,1,3,4,4,4,NA,0
62,1,1,3,2,6,5,1,1
58,1,0,3,3,4,5,1,1
37,1,0,3,3,2,5,NA,0
44,1,0,5,3,6,6,1,1
49,0,0,5,1,7,1,0,1
31,0,1,3,3,4,3,NA,0
54,0,1,3,3,4,3,0,1
26,1,0,6,3,5,5,1,1
53,1,0,5,4,4,6,NA,0
34,1,1,7,3,4,3,0,1
43,1,1,3,3,6,7,1,1
25,1,1,3,3,4,3,0,1
65,1,0,3,1,6,1,NA,0
65,0,0,5,4,6,1,0,1
50,1,1,6,4,5,7,1,1
