nombre,tipo,categoria,lat,lng
cerro baños,museum,cultura,-33.0250122,-68.593092
Plaza Junin,museum,cultura,-33.1436991,-68.48551130000001
"Posta de España, RP 60, Mendoza",museum,cultura,-33.143932,-68.4841972
Salón Cultural Cervantes,museum,cultura,-33.1448245,-68.4843298
Arrascaeta Y Sud Alto Verde Don Roberto,museum,cultura,-33.11081999999999,-68.43609099999999
Posta España,museum,cultura,-33.1592064,-68.4468918
Rotonda Museo Del Vino,museum,cultura,-33.1829887,-68.4709275
San Martin,museum,cultura,-33.07381169999999,-68.4760612
Regional museum and Americanista,museum,cultura,-33.0353296,-68.8936634
Traveler's Shops,museum,cultura,-33.028705,-68.889357
Bodega Flichman,museum,cultura,-33.0949591,-68.72102339999999
Bodega Domiciano de Barrancas,museum,cultura,-33.0957183,-68.700324
FONTALBA,museum,cultura,-33.0049589,-68.79605810000001
Museo Del Olivo,museum,cultura,-32.9909584,-68.7923533
Gral Enrique Mosconi,museum,cultura,-33.0364817,-68.87697829999999
M413,museum,cultura,-33.038715,-68.879334
Lamadrid Y Olascoaga,museum,cultura,-32.9857523,-68.7911771
casa de ozamis,museum,cultura,-32.9846996,-68.7918001
Museo De Fader,museum,cultura,-33.033878,-68.882362
Ateliers De Pintura,museum,cultura,-32.9779606,-68.7949208
Mariana Ojeda d Villegas,museum,cultura,-32.9807197,-68.8172611
Museo Munic. Lujan,museum,cultura,-33.0359051,-68.8929667
NATIONAL MUSEUM OF WINE AND VINTAGE,museum,cultura,-32.97435789999999,-68.788325
Museo Del Automovil,museum,cultura,-32.9726797,-68.78849029999999
Rotonda De La Virgen,museum,cultura,-33.0343231,-68.8983348
Centro Cultural,museum,cultura,-32.9922007,-68.68450059999999
Taller de Laura Hart,museum,cultura,-33.0126994,-68.9034987
La Toma de los Españoles,museum,cultura,-33.04451210000001,-68.9846474
MUSEO PRIVADO JULIO CESAR LARA,museum,cultura,-33.038382,-68.99448389999999
Barrio Solares de Don Américo,museum,cultura,-33.04000910000001,-68.9809344
Central Alvarez Condarco,museum,cultura,-33.0440649,-69.0564309
A Orillas Del Río Mendoza,museum,cultura,-33.0409447,-69.1033897
La Casa De RoSanAMa,museum,cultura,-33.0108039,-68.9269268
Taller de Laura Hart,museum,cultura,-33.012535,-68.903823
Direccion De Patrimonio Cultural / Museo De La Educacion,museum,cultura,-32.9038594,-68.8429103
Museo de la Educación de Mendoza (Antigua Escuela Mitre),museum,cultura,-32.903571,-68.8428382
Encuentro RCA Mendoza,museum,cultura,-32.8952287,-68.83410359999999
Iglesia De Los Jesuitas,museum,cultura,-32.8949643,-68.8405463
Memorial Bandera Del Ejercito De Los Andes,museum,cultura,-32.89775330000001,-68.8459506
Monumento a la Bandera,museum,cultura,-32.8979264,-68.8463419
Plaza Chacras de Coria,museum,cultura,-32.9865248,-68.8820411
Espacio Para la Memoria y Derechos Humanos exD2 (EPMexD2),museum,cultura,-32.898244,-68.850657
MENDOCINO CRAFT MARKET,museum,cultura,-32.89010739999999,-68.8391022
MUSEO DEL VINO DE LA CIUDAD,museum,cultura,-32.8899877,-68.83910449999999
Auditorio Leonardo Favii,museum,cultura,-32.9870198,-68.88333349999999
Espacio Contemporáneo de Arte ECA,museum,cultura,-32.8881575,-68.84005979999999
Museo Municipal CASA MOLINA PICO,museum,cultura,-32.8779476,-68.8187654
Laboratorio de Arte,museum,cultura,-32.9865008,-68.88629209999999
Museo del Pasado Cuyano,museum,cultura,-32.891773,-68.8471323
Archivo Histórico de Mendoza,museum,cultura,-32.8917006,-68.8473219
Inti huasi. la casa del sol.,museum,cultura,-32.8709389,-68.75217889999999
Sala Teatro Recreo Guaym.,museum,cultura,-32.8783289,-68.8260463
Obra de Arte,museum,cultura,-32.8792762,-68.82950749999999
Estudio Maty,museum,cultura,-32.8795503,-68.8377601
Gladys Gilabert,museum,cultura,-32.9370385,-68.80076100000001
Bodega Filipini,museum,cultura,-32.95134619999999,-68.8355641
Monumento Virgen Maria,museum,cultura,-32.9149317,-68.7949608
Monumento a Gandhy,museum,cultura,-32.9120651,-68.7661038
"Estancia Molina, Casa las Bovedas",museum,cultura,-32.96411500000001,-68.706746
Museo Ferroviario de Godoy Cruz,museum,cultura,-32.9524034,-68.85313560000002
Cementerio Guaymallen,museum,cultura,-32.8989521,-68.7622914
Marbri Eventos,museum,cultura,-32.90332399999999,-68.738467
COMISIÓN DE ESTUDIOS HISTÓRICOS MUSEO HISTÓRICO POLICIAL,museum,cultura,-32.9259589,-68.8450477
